Opponent,Results,Score,PlusMinus
USC,W, 78_65 ,9.1
Southern Utah,W, 90_57 ,17
UC Santa Barbara,W, 71_64 ,5.3
Mississippi St.,W, 87_68 ,8.3
Weber St.,W, 77_71 ,1.4
BYU,L, 85_74 ,-2
Pacific,L, 78_68 ,-6.2
Utah Valley,W, 71_60 ,17.8
Western Illinois,W, 68_52 ,10.3
UC Santa Barbara,W, 77_71 OT,-1.9
Troy,W, 71_50 ,15
Air Force,L, 73_72 ,0.1
San Jose St.,W, 86_67 ,4
Nevada,L, 62_54 ,-6.7
Colorado St.,W, 57_50 ,2.2
Boise St.,L, 78_74 ,-4.3
UNLV,L, 62_42 ,-6.5
San Diego St.,L, 74_69 OT,-0.9
New Mexico,L, 78_65 ,-6.2
Wyoming,L, 74_57 ,-9
Nevada,W, 83_75 ,0.8
Boise St.,W, 76_70 ,0.3
Colorado St.,W, 71_62 ,11
UNLV,L, 73_62 ,-1.9
San Diego St.,L, 60_45 ,-11.9
Fresno St.,L, 79_76 ,-5.3
New Mexico,L, 67_58 ,-0.5
San Jose St.,W, 75_58 ,9.9
Wyoming,W, 65_54 ,1.8
Colorado St.,W, 73_69 ,-0.1
San Diego St.,L, 73_39 ,-15.6
