Opponent,Results,Score,PlusMinus
Saint Joseph's,L, 74_64 ,-8
Siena,W, 77_66 ,7.8
Bryant,L, 87_64 ,-7.7
Providence,L, 70_49 ,-10.9
Wagner,L, 68_61 ,-5.9
Duke,L, 91_90 ,-5.9
Illinois St.,W, 87_76 ,-6.1
San Francisco,L, 72_61 ,-4.2
Quinnipiac,L, 80_67 ,-7.6
UMass Lowell,W, 62_48 ,0.8
Harvard,L, 74_68 ,-6.7
Dartmouth,W, 62_53 ,5.1
Yale,W, 67_59 ,4.8
Albany,W, 68_38 ,8.2
Maine,W, 83_46 ,15.8
UMBC,W, 73_47 ,14
New Hampshire,W, 57_40 ,-2.2
Stony Brook,L, 67_64 ,-9.1
Binghamton,W, 72_39 ,17.8
Hartford,W, 67_60 ,1.1
Albany,W, 55_45 ,6
Maine,W, 93_65 ,11
UMass Lowell,W, 83_58 ,15.7
UMBC,W, 76_52 ,14.9
New Hampshire,W, 79_44 ,17.6
Hartford,W, 72_47 ,5
Stony Brook,W, 69_53 ,14.8
Binghamton,W, 92_82 OT,-0.4
New Hampshire,W, 77_60 ,4.7
Albany,L, 67_58 ,-10.5
Georgia,L, 63_56 ,-2.9
