Opponent,Results,Score,PlusMinus
Penn St.,L, 74_62 ,-7.6
St. John's,L, 73_57 ,-10.5
Coppin St.,W, 102_87 ,6.3
Vermont,W, 68_61 ,5.9
St. Bonaventure,L, 70_67 ,-8.9
Illinois Chicago,L, 94_76 ,-9.9
Lafayette,L, 77_65 ,-7.3
Penn,W, 75_69 OT,-1.3
Rider,L, 79_58 ,-14.6
La Salle,L, 80_54 ,-13.1
Monmouth,W, 59_52 ,2.8
Central Connecticut,W, 88_59 ,12.1
LIU Brooklyn,W, 84_70 ,3.8
Mount St. Mary's,L, 89_80 ,-5.3
St. Francis PA,W, 56_50 ,-1.7
Central Connecticut,L, 87_83 ,-2.3
Robert Morris,L, 74_70 ,-0.8
LIU Brooklyn,W, 75_68 ,5
St. Francis NY,L, 73_72 OT,-1.1
Fairleigh Dickinson,W, 75_68 ,7.7
Sacred Heart,W, 62_55 ,6.9
Bryant,W, 73_61 ,7.9
Sacred Heart,W, 74_62 ,3.8
Mount St. Mary's,W, 71_66 ,2.2
Fairleigh Dickinson,W, 67_64 ,-2
St. Francis PA,W, 74_45 ,12.9
Robert Morris,W, 59_48 ,2.1
Central Connecticut,W, 83_59 ,6.4
Mount St. Mary's,L, 77_72 ,-2.3
