Opponent,Results,Score,PlusMinus
Seattle,W, 88_78 ,3.7
UC Irvine,L, 86_72 ,-5.4
Eastern Washington,W, 92_80 ,-4.4
Indiana,L, 102_84 ,-10.5
Boston College,L, 89_78 ,-9.7
Montana,W, 83_79 ,-1.3
Long Beach St.,W, 92_89 2OT,-0.8
San Diego St.,L, 70_63 ,0.3
Idaho St.,W, 85_66 ,7.1
Tulane,W, 73_62 ,6.8
Connecticut,L, 82_70 ,-2.7
Mississippi Valley St.,W, 95_80 ,6.9
Hartford,W, 73_67 ,-0.2
Arizona St.,W, 76_65 ,10.1
Arizona,L, 71_62 ,-0.3
Utah,W, 59_57 ,3
Colorado,W, 71_54 ,3.1
California,L, 82_56 ,-9.5
Stanford,L, 79_67 ,-6.6
Oregon,W, 80_76 ,1.1
Oregon St.,W, 87_81 ,0.5
Washington St.,L, 72_67 ,-0.6
Utah,L, 78_69 ,-0.1
Colorado,L, 91_65 ,-14.6
Stanford,W, 64_60 ,-1.9
California,L, 72_59 ,-1.5
Oregon,L, 78_71 ,-2.6
Oregon St.,W, 86_62 ,7.2
Washington St.,W, 72_49 ,8.8
UCLA,L, 91_82 ,-2.1
USC,W, 82_75 ,5.1
Utah,L, 67_61 ,-4.3
