Opponent,Results,Score,PlusMinus
New Mexico St.,W, 70_64 ,4.1
Hawaii,L, 78_68 ,-2
Tennessee St.,W, 63_52 ,8.5
Alabama A&M,W, 73_69 ,7.9
North Dakota St.,L, 83_74 ,-7.8
Oakland,W, 99_88 ,6
Cornell,W, 83_70 ,3.6
Northwestern,L, 51_35 ,-11.4
Missouri,L, 66_60 ,-5.8
Drake,L, 71_68 ,1
Prairie View A&M,W, 92_53 ,15.5
Toledo,W, 87_76 ,10.8
Miami OH,W, 78_77 OT,5.6
Eastern Michigan,L, 56_37 ,-10.8
Bowling Green,L, 69_64 ,3.8
Kent St.,W, 75_59 ,10.4
Ball St.,W, 62_53 ,2.9
Buffalo,L, 84_63 ,-10.7
Central Michigan,W, 75_72 ,11.4
Ohio,W, 90_74 ,-0.5
Northern Illinois,W, 74_71 ,4
Akron,W, 57_54 ,-3.8
Miami OH,W, 68_57 ,2.9
Ohio,W, 73_63 ,8.7
Eastern Michigan,W, 75_67 ,3.3
Ball St.,W, 88_81 OT,-4.2
Toledo,L, 96_85 OT,6.1
Northern Illinois,W, 61_56 ,-0.9
Central Michigan,W, 78_64 ,1
Akron,W, 64_60 OT,-7.3
Toledo,W, 98_77 ,6.1
Syracuse,L, 77_53 ,-14.1
