Opponent,Results,Score,PlusMinus
Liberty,W, 84_72 ,-0.9
Wichita St.,L, 79_62 ,-0.6
High Point,L, 80_69 ,-11.2
Rutgers,W, 72_62 ,1.5
VMI,W, 97_67 ,13.6
Howard,W, 84_79 OT,2.9
Richmond,L, 71_60 ,-3.2
Wofford,W, 63_60 ,2.3
West Virginia,L, 82_45 ,-14.1
Old Dominion,W, 74_68 ,6.4
Western Illinois,W, 78_67 ,1.1
Drexel,W, 85_73 ,9.2
Delaware,L, 76_71 ,2
James Madison,W, 78_56 ,11.1
Hofstra,L, 77_60 ,-6.6
Drexel,W, 68_66 ,-1.8
College of Charleston,W, 74_63 ,-2.2
Delaware,L, 89_72 ,-12.9
James Madison,W, 81_79 ,7.2
UNC Wilmington,W, 54_50 ,5.3
Northeastern,W, 82_70 ,20.9
Towson,L, 85_70 ,-3.7
UNC Wilmington,W, 93_70 ,9.2
College of Charleston,L, 87_54 ,-12.6
Northeastern,W, 81_67 ,8.2
Hofstra,W, 79_74 ,5.9
Towson,L, 70_68 ,4
College of Charleston,W, 70_59 ,-4.3
Towson,W, 75_71 ,1.6
Delaware,L, 75_74 ,-1.6
