Opponent,Results,Score,PlusMinus
Gardner Webb,W, 83_59 ,9.1
Tennessee,W, 67_63 ,6.5
Morehead St.,W, 79_56 ,9.8
Miami OH,W, 77_51 ,9.6
Abilene Christian,W, 93_65 ,9.5
Iowa,L, 77_74 OT,4.8
Tennessee,L, 64_49 ,-11.3
USC,L, 84_78 ,-8.9
Bowling Green,W, 85_73 OT,2
Evansville,W, 63_60 ,-4.1
Cincinnati,W, 64_47 ,12.2
Alabama,W, 77_74 ,-4
Wake Forest,W, 68_53 ,9.8
St. John's,W, 70_60 ,1.1
Butler,W, 79_68 ,-0.2
Marquette,W, 86_79 ,2.5
Creighton,L, 95_89 ,-3
Georgetown,W, 80_67 ,-4
DePaul,W, 84_74 ,8.7
Providence,L, 81_72 ,-3.9
Seton Hall,L, 68_60 ,-3.9
Villanova,L, 81_58 ,-9.2
Providence,W, 59_53 ,2.1
Butler,W, 64_50 ,9.7
Marquette,L, 81_72 ,-7.5
DePaul,W, 83_64 ,14.9
Georgetown,L, 74_52 ,-11.9
St. John's,W, 65_53 ,2.8
Creighton,W, 75_69 ,6.2
Seton Hall,L, 71_62 ,-6.8
Villanova,L, 77_70 ,-3.9
Marquette,W, 68_65 ,-0.7
Creighton,L, 86_78 ,-10.1
North Carolina St.,L, 74_59 ,-5.3
