Opponent,Results,Score,PlusMinus
Nevada,L, 65_49 ,-
Delaware,W, 78_60 ,15.1
California,L, 72_52 ,-5.1
Saint Mary's,L, 82_56 ,-9.5
Fresno St.,L, 63_57 ,-5.2
San Francisco,W, 78_71 ,5.1
Northeastern,W, 60_58 ,-5.9
Gonzaga,L, 63_50 ,-4.6
Santa Clara,W, 69_58 ,5.5
IPFW,W, 71_57 ,10.9
Hawaii,W, 61_57 OT,4.5
UC Santa Barbara,L, 50_45 ,3.9
Long Beach St.,L, 50_48 ,1.6
Cal St. Northridge,L, 55_48 ,0.8
Cal St. Fullerton,W, 66_55 ,6.5
UC Riverside,W, 68_49 ,2.5
UC Irvine,L, 67_57 ,-6.8
UC Davis,L, 81_78 OT,3.8
Hawaii,L, 59_56 ,-0.8
Cal St. Northridge,W, 70_63 ,8.8
Long Beach St.,W, 71_58 ,5.8
Cal St. Fullerton,W, 65_54 ,2.5
UC Riverside,L, 48_44 ,-0.7
UC Irvine,L, 63_56 ,-6.6
UC Davis,L, 66_56 ,-5.9
UC Santa Barbara,L, 64_56 ,-4.6
UC Santa Barbara,L, 54_50 ,-2.8
