Opponent,Results,Score,PlusMinus
St. Bonaventure,L, 77_57 ,-7
Hartford,L, 53_48 ,-4.3
IPFW,W, 68_67 ,-0.3
New Hampshire,L, 65_63 ,-0.3
Longwood,L, 74_73 ,5
Maine,W, 74_51 ,8.8
UMass Lowell,W, 69_48 ,6.7
Jacksonville St.,L, 79_67 ,-7.6
Mercer,W, 67_51 ,-
Northern Illinois,W, 58_55 OT,4.1
Penn St.,L, 69_49 ,-14.3
Bryant,W, 76_59 ,5.7
Harvard,L, 57_46 ,-6.4
Vermont,L, 55_52 ,-1.9
NJIT,W, 62_53 ,6.5
Harvard,W, 70_61 ,-1.7
Penn,L, 58_51 ,-4.6
Princeton,L, 64_53 ,-8.2
Yale,L, 81_66 ,-8.8
Brown,L, 67_64 ,-3.4
Cornell,L, 81_72 OT,-
Columbia,W, 61_49 ,6.7
Princeton,L, 63_56 ,2.4
Penn,W, 67_62 ,0.7
Columbia,W, 84_71 ,2.2
Cornell,W, 56_45 ,7.4
Brown,W, 75_69 ,-11.5
Yale,W, 59_58 ,-3.8
Canisius,L, 87_72 ,-7.5
