Opponent,Results,Score,PlusMinus
Missouri St.,L, 64_53 ,3.6
UC Davis,L, 63_61 ,-2.3
Cincinnati,L, 54_49 ,-2.7
Creighton,L, 75_53 ,-14.7
North Carolina Central,L, 65_40 ,-16.1
Southern,W, 54_43 ,14.7
Ball St.,W, 61_54 ,-2.3
UC Davis,L, 80_70 ,-4.4
Northern Illinois,W, 59_55 ,2.8
Indiana St.,W, 60_56 ,3.9
Cleveland St.,W, 67_65 ,-2.3
Tennessee Tech,W, 61_59 ,3
Jacksonville St.,W, 59_50 OT,-2.4
Tennessee St.,W, 64_57 ,-3
Belmont,W, 84_73 ,8.1
Eastern Kentucky,W, 72_65 ,7.8
Morehead St.,W, 65_62 ,0.2
Murray St.,L, 77_62 ,-14.1
Austin Peay,L, 56_52 ,2.1
Tennessee Martin,L, 81_51 ,-12.1
SIU Edwardsville,W, 57_54 ,4.4
Southeast Missouri St.,L, 68_64 ,5.1
Austin Peay,W, 66_55 ,3
SIU Edwardsville,L, 80_63 ,-12.7
Tennessee Martin,L, 75_73 OT,-2.3
Southeast Missouri St.,W, 73_65 ,-3.4
Murray St.,L, 65_57 ,-10.1
SIU Edwardsville,W, 78_66 ,4.9
Belmont,L, 97_64 ,-18.3
Oakland,W, 97_91 ,4.9
Evansville,L, 83_68 ,-10.4
