Opponent,Results,Score,PlusMinus
Penn St.,L, 73_54 ,-13.2
Maryland,L, 66_50 ,-7.9
UMass Lowell,L, 64_57 ,-0.4
Maryland Eastern Shore,L, 72_66 ,-4.4
Siena,W, 69_67 ,3.4
Monmouth,W, 68_58 OT,5.9
St. John's,L, 74_53 ,-7.7
Manhattan,L, 71_57 ,-5.7
Howard,W, 74_59 ,6.5
South Carolina St.,W, 74_54 ,6.9
VCU,L, 75_58 ,-8.4
Rhode Island,L, 68_65 ,-1.7
Dayton,L, 76_58 ,-3.3
Saint Joseph's,L, 66_55 ,-4.9
La Salle,L, 60_49 ,-11
George Washington,L, 79_59 ,-16.3
Rhode Island,L, 64_63 ,2.5
Dayton,L, 101_77 ,-13.1
Massachusetts,L, 78_72 ,0.5
Saint Louis,W, 83_65 ,7.2
Richmond,L, 73_71 ,2.1
Saint Joseph's,W, 69_55 ,3.4
George Mason,W, 80_68 ,-0.8
Davidson,L, 76_57 ,-10.2
La Salle,W, 63_48 ,7.8
Massachusetts,L, 82_74 ,-2
Duquesne,L, 81_66 ,-3.4
St. Bonaventure,L, 66_52 ,-2.7
George Mason,W, 71_65 ,3.1
VCU,L, 63_57 ,-0.5
