Opponent,Results,Score,PlusMinus
Iowa,L, 90_56 ,-16.6
Syracuse,L, 65_47 ,-5.6
Alcorn St.,W, 82_69 ,10
North Dakota St.,L, 74_66 ,-2
Appalachian St.,L, 82_74 ,-9
American,L, 64_60 ,-0
Tennessee St.,W, 62_54 ,1.8
Coppin St.,W, 71_52 ,5.4
Morgan St.,W, 62_58 ,0.3
Illinois,L, 73_55 ,-10.1
Tennessee St.,W, 66_54 ,1.6
Northern Arizona,W, 75_66 ,6.4
Northern Illinois,L, 83_51 ,-9.8
USC Upstate,L, 68_54 ,-7.2
Bethune Cookman,W, 58_56 ,3.1
Florida A&M,W, 78_63 ,13.2
North Carolina A&T,L, 64_61 ,-4.7
North Carolina Central,L, 59_52 ,3.6
Savannah St.,L, 68_66 ,4.6
South Carolina St.,L, 65_56 ,-1.3
Norfolk St.,L, 63_60 ,-1.9
NJIT,L, 86_67 ,-13.1
Maryland Eastern Shore,W, 64_61 ,-4.4
Howard,W, 73_69 OT,1.8
Morgan St.,W, 93_65 ,21.1
Delaware St.,L, 74_71 ,2.8
Howard,W, 68_67 ,2.7
Delaware St.,L, 85_75 ,-4.1
Norfolk St.,L, 80_69 ,-2
Morgan St.,W, 91_71 ,5.7
Maryland Eastern Shore,W, 76_71 ,3.8
Norfolk St.,W, 75_64 ,3.5
Delaware St.,W, 82_61 ,1.4
Manhattan,W, 74_64 ,6
Kentucky,L, 79_56 ,-14.7
