Opponent,Results,Score,PlusMinus
Sacred Heart,L, 71_53 ,-6.1
Saint Peter's,W, 51_50 ,1.1
Dartmouth,W, 53_48 ,4.3
Niagara,W, 65_62 ,2.9
Quinnipiac,W, 54_50 ,4.2
Yale,L, 69_57 ,-6.1
Vermont,L, 81_69 ,-8.3
Central Connecticut,L, 56_47 ,-7.4
Holy Cross,W, 79_61 ,6.7
Rider,L, 63_61 ,-4.5
FIU,W, 82_69 ,7.7
Notre Dame,L, 87_60 ,-9
Texas A&M,L, 58_49 ,-6.3
Binghamton,W, 69_59 ,0.8
New Hampshire,W, 68_67 ,2.2
UMass Lowell,W, 68_62 OT,2.7
UMBC,W, 65_63 ,6.6
Albany,L, 62_53 ,-5.8
Maine,L, 70_61 ,-2.5
Stony Brook,L, 72_66 ,2.3
Vermont,L, 65_46 ,-4.9
Binghamton,W, 62_61 ,4.9
New Hampshire,L, 76_70 OT,-0.9
UMass Lowell,L, 69_63 ,-6.4
UMBC,W, 55_52 ,2.7
Albany,L, 70_64 ,-1.5
Maine,W, 63_60 ,0
Stony Brook,L, 74_59 ,-12.9
New Hampshire,L, 67_63 OT,-1
