Opponent,Results,Score,PlusMinus
Jacksonville,W, 94_61 ,17.2
North Carolina St.,L, 76_64 ,-12.1
Stony Brook,W, 66_65 ,-0.5
Wagner,W, 93_71 ,12.9
South Florida,L, 71_70 ,3.6
Jackson St.,W, 86_56 ,9.3
Norfolk St.,W, 88_74 ,4.9
Appalachian St.,W, 68_51 ,3.9
Coppin St.,W, 105_64 ,17.1
Columbia,L, 82_77 ,-1.9
La Salle,L, 83_74 ,-6.9
LIU Brooklyn,W, 88_62 ,11.7
Central Connecticut,W, 84_56 ,14.6
UNC Wilmington,W, 68_56 ,-4
Delaware,W, 71_58 ,6.1
College of Charleston,W, 71_66 ,2.7
Elon,W, 79_61 ,8.4
Northeastern,L, 91_83 ,-1.8
UNC Wilmington,L, 79_74 ,1.8
Drexel,W, 86_58 ,12.1
James Madison,L, 69_63 ,4.2
William & Mary,L, 100_79 ,-14.4
Towson,L, 86_72 ,-4
Delaware,W, 79_69 ,6.2
Elon,W, 80_69 ,2.6
Northeastern,L, 79_68 ,-4.8
Drexel,W, 81_57 ,13
Towson,W, 87_82 ,-2.7
William & Mary,L, 80_78 ,-4.3
College of Charleston,W, 73_40 ,11.5
James Madison,W, 74_57 ,-
James Madison,L, 82_73 ,-
William & Mary,L, 92_91 2OT,-1.2
Vermont,L, 85_81 ,-4.7
