Opponent,Results,Score,PlusMinus
South Dakota St.,W, 82_77 ,3.8
Northern Illinois,L, 78_67 ,-6.6
Boise St.,L, 86_75 ,-5.7
Northern Kentucky,L, 79_74 ,-7.5
Washington St.,W, 77_71 ,6.6
UC Davis,W, 79_71 ,-0.8
Western Illinois,L, 78_75 ,2.9
South Dakota St.,L, 87_85 ,-0.6
Northern Kentucky,L, 81_68 ,-3.5
Idaho St.,W, 77_54 ,10.7
Weber St.,W, 86_84 ,0.9
Eastern Washington,L, 89_86 ,-3.5
Sacramento St.,L, 79_76 ,2.2
Portland St.,L, 85_73 ,-4.7
North Dakota,L, 71_63 ,1.3
Northern Colorado,W, 83_79 ,14.7
Eastern Washington,L, 98_95 OT,5.5
Montana St.,W, 80_71 ,0.2
Montana,L, 70_56 ,-3.8
Portland St.,W, 87_76 ,6.8
Sacramento St.,W, 69_58 ,5.2
Northern Arizona,L, 72_65 ,-4.5
Southern Utah,L, 79_77 OT,-0.7
Montana,W, 92_87 2OT,-2.6
Montana St.,W, 80_73 ,2.1
Weber St.,L, 74_63 ,-8.8
Idaho St.,L, 67_65 ,-5.5
Eastern Washington,L, 91_83 ,-1.6
