Opponent,Results,Score,PlusMinus
Hofstra,L, 94_61 ,-17.2
Jackson St.,L, 66_57 ,-2
North Carolina St.,L, 79_43 ,-17.3
IPFW,L, 89_71 ,-15.2
South Florida,L, 79_65 ,-5.1
Samford,L, 76_70 OT,1.9
Appalachian St.,L, 67_56 ,-6.5
Bethune Cookman,L, 52_47 ,-7.6
Florida,L, 79_34 ,-11.1
Gardner Webb,W, 68_65 ,-5.2
Mississippi St.,L, 70_47 ,-10.3
Jacksonville St.,W, 75_61 ,5.9
Florida Atlantic,L, 68_50 ,-6.2
Florida A&M,W, 79_56 ,9
North Florida,L, 86_63 ,-5
Stetson,W, 71_69 ,-1.2
Florida Gulf Coast,L, 79_50 ,-7.4
Lipscomb,L, 80_77 2OT,4
Northern Kentucky,L, 81_59 ,-8.7
USC Upstate,L, 78_65 ,-10.3
Kennesaw St.,L, 51_50 ,1.3
North Florida,L, 77_50 ,-11
Kennesaw St.,L, 78_65 ,-0.4
USC Upstate,W, 89_70 ,-1.8
Northern Kentucky,W, 83_75 OT,5.5
Lipscomb,L, 87_83 ,-1.1
Stetson,L, 70_67 ,-7.9
Florida Gulf Coast,W, 75_67 ,5.5
Florida Gulf Coast,L, 81_63 ,-5.1
