Opponent,Results,Score,PlusMinus
SMU,L, 93_54 ,-18.1
Texas St.,L, 65_55 ,-7.6
Indiana,L, 85_72 ,-9.1
Arkansas St.,W, 63_58 ,1.4
Texas Southern,L, 71_59 ,-3.8
Iowa St.,L, 96_59 ,-9.9
UT Rio Grande Valley,L, 66_60 ,-5.1
Rice,W, 79_72 OT,-2
Nicholls St.,W, 75_62 ,-1.3
New Orleans,L, 72_67 ,-2.9
Central Arkansas,W, 84_65 ,13.7
Texas A&M Corpus Chris,W, 66_64 ,-2.9
Northwestern St.,L, 96_84 ,-3.5
Southeastern Louisiana,W, 57_50 ,-1.4
Houston Baptist,L, 79_77 ,-4.2
Stephen F. Austin,L, 82_65 ,-12.5
Abilene Christian,W, 84_74 ,4.4
Sam Houston St.,L, 79_50 ,-14.2
Incarnate Word,L, 78_72 ,-3.8
Abilene Christian,W, 80_61 ,10.3
Houston Baptist,W, 72_64 ,6.2
McNeese St.,W, 58_53 ,-0.9
Stephen F. Austin,L, 103_74 ,-15.6
Incarnate Word,W, 79_66 ,8.2
McNeese St.,L, 70_69 ,2.3
Sam Houston St.,L, 67_61 ,-3.8
