Opponent,Results,Score,PlusMinus
Florida St.,L, 81_66 ,-2.6
Massachusetts,L, 77_68 OT,1.6
Binghamton,W, 78_63 ,10.7
Northeastern,L, 65_51 ,-13.2
George Mason,L, 64_63 ,4.2
Fairfield,L, 67_54 ,-5.1
Marist,W, 60_38 ,11.6
Rutgers,L, 63_55 ,-5.4
Pittsburgh,L, 65_56 ,-7.6
Morgan St.,W, 73_69 ,0.4
Fordham,W, 71_57 ,5.7
Niagara,L, 73_61 ,-11.5
Canisius,W, 63_60 ,4.4
Saint Peter's,W, 68_63 ,10.3
Niagara,W, 84_75 ,6.1
Saint Peter's,W, 72_65 OT,-0.4
Rider,L, 82_79 OT,2
Quinnipiac,L, 73_59 ,-4.5
Monmouth,W, 71_64 ,3.6
Siena,W, 87_79 ,2.3
Monmouth,W, 87_76 ,13
Canisius,W, 78_69 ,6.6
Rider,L, 85_77 OT,-2.2
Iona,L, 70_67 ,-5.4
Fairfield,W, 79_70 ,7
Siena,W, 80_74 ,7
Marist,W, 67_54 ,1.1
Iona,L, 79_75 ,-6.4
Quinnipiac,W, 69_65 ,5.1
Marist,W, 74_58 ,9.7
Saint Peter's,W, 65_48 ,7.3
Iona,W, 79_69 ,3.7
Hampton,L, 74_64 ,-6
