Opponent,Results,Score,PlusMinus
UMKC,L, 69_61 ,-5.8
Valparaiso,W, 56_41 ,4.4
Oral Roberts,W, 78_64 ,-0.2
Arizona,L, 72_53 ,-6.3
Purdue,L, 82_61 ,-18.4
Southeast Missouri St.,W, 65_61 ,-4
Oklahoma,L, 82_63 ,-10.2
Elon,W, 78_73 ,10
Xavier,L, 74_58 ,-6.5
Illinois,L, 62_59 ,-1.6
Oklahoma St.,L, 74_72 OT,1.7
Lipscomb,W, 72_60 ,-1.7
LSU,W, 74_67 OT,-1.9
Auburn,L, 85_79 ,-1.2
Kentucky,L, 86_37 ,-16.9
Tennessee,L, 59_51 ,-2.1
Texas A&M,L, 62_50 ,-1.3
Arkansas,L, 61_60 ,-2
Kentucky,L, 69_53 ,-8
Mississippi,L, 67_47 ,-8.6
Alabama,L, 62_49 ,-3.6
Texas A&M,L, 83_61 ,-7.5
South Carolina,L, 65_60 ,-3.6
Mississippi St.,L, 77_74 ,-6.6
Arkansas,L, 84_69 ,-9
Vanderbilt,L, 76_53 ,-11.8
Florida,W, 64_52 ,0.9
Georgia,L, 68_44 ,-14.6
Auburn,W, 63_61 ,-0.9
Mississippi St.,L, 52_43 ,-5.5
South Carolina,L, 63_54 ,-6.2
