Opponent,Results,Score,PlusMinus
West Virginia,L, 64_54 ,2.5
Bethune Cookman,W, 73_50 ,10.7
Central Connecticut,W, 65_50 ,3.9
Towson,L, 79_75 OT,6.5
Maryland,L, 61_56 ,-7.2
SMU,L, 63_51 ,-8.9
Marist,W, 57_50 ,2
Iona,W, 92_89 ,2.1
Fordham,L, 68_58 OT,-5.9
Wagner,W, 74_66 ,3.8
St. Francis NY,L, 71_46 ,-12.3
Rutgers,L, 59_58 ,2.9
Canisius,W, 73_68 ,-3.2
Niagara,W, 66_50 ,6.2
Quinnipiac,L, 68_64 ,0.1
Rider,W, 55_54 ,-5.8
Saint Peter's,L, 62_61 OT,0.4
Fairfield,W, 77_70 ,2.2
Penn,W, 71_56 ,13.1
Niagara,W, 69_58 ,13.3
Manhattan,L, 71_64 ,-3.6
Fairfield,W, 60_59 ,2.8
Manhattan,L, 87_76 ,-13
Quinnipiac,L, 72_52 ,-10.8
Canisius,W, 44_40 ,0.6
Siena,W, 83_64 ,2.7
Marist,W, 69_65 ,-3.3
Saint Peter's,W, 63_58 ,5.2
Iona,L, 69_68 ,3.1
Rider,L, 63_60 ,-4
Siena,W, 63_57 ,-3.5
Canisius,W, 60_54 ,2.5
Iona,L, 95_77 ,-9.2
