Opponent,Results,Score,PlusMinus
Houston,L, 77_74 ,3.7
Middle Tennessee,W, 68_49 ,9.7
Xavier,L, 89_62 ,-15.7
Portland,L, 64_61 ,0.6
Valparaiso,L, 93_58 ,-7.8
Drake,W, 68_59 ,1.2
Western Kentucky,W, 93_81 ,10.6
Evansville,W, 81_79 ,1.9
Alcorn St.,W, 94_56 ,11.7
Illinois St.,W, 89_77 ,2.9
Southern Illinois,W, 83_71 ,5
Alabama A&M,W, 76_39 ,20.6
Morehead St.,W, 66_57 ,4.1
Tennessee Tech,W, 83_67 ,10.5
Jacksonville St.,W, 84_57 ,12.3
Belmont,W, 92_77 ,10.2
Tennessee St.,W, 91_72 ,16.3
Eastern Illinois,W, 77_62 ,14.1
SIU Edwardsville,W, 60_54 ,0.9
Eastern Kentucky,W, 85_78 OT,-2
Tennessee Martin,W, 65_62 ,3.1
Southeast Missouri St.,W, 82_72 ,4.9
Austin Peay,W, 82_72 ,9
SIU Edwardsville,W, 78_46 ,16.8
Southeast Missouri St.,W, 94_92 OT,-2.3
Austin Peay,W, 89_54 ,15.4
Eastern Illinois,W, 65_57 ,10.1
Tennessee Martin,W, 73_67 ,3.8
Morehead St.,W, 80_77 ,1.1
Belmont,L, 88_87 ,-0.2
UTEP,W, 81_66 ,6.6
Tulsa,W, 83_62 ,13
Old Dominion,L, 72_69 ,-4
