Opponent,Results,Score,PlusMinus
UNC Wilmington,W, 76_56 ,-0.4
Richmond,W, 63_57 ,4.3
LSU,W, 70_61 ,-0.4
Illinois St.,L, 64_45 ,-11.8
Gardner Webb,W, 58_46 ,1.8
VCU,W, 73_67 ,11
George Mason,W, 75_69 ,2
North Carolina A&T,W, 85_48 ,16.2
Georgia St.,W, 58_54 OT,-3.1
Maryland Eastern Shore,W, 60_43 ,6.1
William & Mary,W, 69_62 ,3.3
Mount St. Mary's,W, 69_35 ,18.5
Charlotte,W, 61_54 ,8.5
Marshall,W, 72_51 ,8.7
Western Kentucky,L, 72_65 ,-2.9
Rice,W, 63_53 ,5
North Texas,W, 61_50 ,7.8
Middle Tennessee,L, 68_58 OT,-2.2
UAB,L, 81_68 ,-6
FIU,W, 71_56 ,5.8
Florida Atlantic,W, 68_57 ,2.7
Charlotte,W, 61_57 ,0.1
UTSA,L, 72_67 ,2.6
UTEP,L, 62_47 ,-6.7
Southern Miss,W, 64_38 ,8.3
Louisiana Tech,W, 72_53 ,15.4
Rice,W, 63_54 ,9.6
North Texas,W, 70_57 ,-1.1
Marshall,W, 67_50 ,5.9
Western Kentucky,W, 75_52 ,13.1
Middle Tennessee,L, 59_52 ,-2.5
Charleston Southern,W, 65_56 ,1.3
Illinois St.,W, 50_49 ,4.6
Murray St.,W, 72_69 ,4
Stanford,L, 67_60 ,-6.6
