Opponent,Results,Score,PlusMinus
Western Illinois,W, 73_71 OT,0.5
UC Irvine,L, 68_50 ,-9.6
Washington,L, 76_69 ,-6.3
Colorado St.,L, 75_64 ,-10.9
Mercer,W, 55_48 ,3
Idaho St.,W, 68_62 ,4.9
Western Michigan,L, 80_72 ,-4.6
Nevada,W, 69_65 ,7.4
Fresno St.,W, 71_68 ,5.6
San Francisco,L, 77_71 ,1.1
Santa Clara,L, 57_40 ,-10.1
Loyola Marymount,W, 77_63 ,7.4
Pepperdine,L, 71_61 ,-7.3
Saint Mary's,L, 54_47 ,-3.2
BYU,L, 93_80 ,-6.7
San Diego,W, 59_57 ,0.6
Portland,L, 72_69 ,-4.3
Gonzaga,L, 91_60 ,-17.5
Pepperdine,L, 50_43 ,1.5
Loyola Marymount,L, 76_71 OT,4.1
Saint Mary's,L, 73_58 ,-12.2
San Diego,L, 68_48 ,-9.9
BYU,L, 84_59 ,-3.8
Gonzaga,L, 86_74 ,-8
Portland,W, 79_77 OT,-2.2
Santa Clara,W, 64_57 ,4.2
San Francisco,L, 62_58 ,-
San Francisco,L, 65_55 ,-
