Opponent,Results,Score,PlusMinus
George Washington,L, 70_53 ,-9.9
Fairleigh Dickinson,W, 61_44 ,11.9
St. Francis NY,W, 76_73 ,4.5
Saint Peter's,L, 68_50 ,-9.7
Vanderbilt,W, 68_65 ,1.7
Virginia,L, 45_26 ,-4.9
Clemson,W, 69_64 ,0.7
Seton Hall,L, 81_54 ,-15.8
New Hampshire,W, 60_56 ,3
Manhattan,W, 63_55 ,5.4
St. Francis PA,L, 73_68 ,1.3
Sacred Heart,W, 79_54 ,11.5
Monmouth,W, 59_58 ,-2.9
Northwestern,L, 51_47 ,-2.1
Penn St.,W, 50_46 ,6.7
Nebraska,L, 65_49 ,-3.7
Wisconsin,W, 67_62 ,-4.1
Maryland,L, 73_65 ,0.1
Minnesota,L, 89_80 ,-7.1
Michigan,L, 54_50 ,-0.9
Penn St.,L, 79_51 ,-10
Michigan St.,L, 71_51 ,-11.7
Indiana,L, 72_64 ,1
Illinois,L, 66_54 ,-7.6
Ohio St.,L, 79_60 ,-13
Purdue,L, 61_51 ,-9.7
Iowa,L, 81_47 ,-14.4
Indiana,L, 84_54 ,-9.4
Purdue,L, 92_85 ,-11.5
Maryland,L, 60_50 ,-5
Michigan,L, 79_69 ,-12.8
Minnesota,L, 80_68 ,-2.5
