Opponent,Results,Score,PlusMinus
UCF,L, 64_55 ,-2.4
FIU,L, 53_52 ,4.2
New Mexico St.,L, 88_68 ,-13.2
Wyoming,L, 65_41 ,-14.6
Northern Colorado,L, 82_62 ,-13.4
Florida A&M,W, 62_50 ,5.2
IPFW,L, 87_76 ,-9
Davidson,L, 90_59 ,-16.2
Florida Atlantic,L, 79_69 ,-12
Georgia Southern,L, 76_67 ,1.4
Florida St.,L, 63_59 ,-3.7
Florida A&M,W, 65_60 ,7.6
Florida Gulf Coast,L, 72_50 ,-10.9
Jacksonville,L, 71_69 ,1.2
North Florida,L, 80_65 ,-4.9
Kennesaw St.,L, 88_82 ,-1.6
USC Upstate,L, 91_67 ,-7.4
Northern Kentucky,W, 85_75 ,7.9
Lipscomb,W, 75_73 ,-3.6
Bethune Cookman,W, 77_72 ,-2.3
Florida Gulf Coast,L, 67_51 ,-4.5
Lipscomb,L, 87_85 ,-8.1
Northern Kentucky,L, 82_57 ,-13.3
USC Upstate,L, 73_54 ,-9.3
Kennesaw St.,L, 61_56 ,-6
Jacksonville,W, 70_67 ,7.9
North Florida,L, 86_71 ,-7.7
North Florida,L, 81_67 ,-13.9
