Opponent,Results,Score,PlusMinus
Loyola MD,W, 71_59 ,2.9
LSU,L, 69_64 OT,1.7
Missouri St.,W, 80_68 ,5
Northwestern St.,W, 75_64 ,10.2
Air Force,W, 63_62 ,-10.1
Auburn,W, 46_44 ,-1.1
Fresno St.,W, 73_56 ,7.8
Prairie View A&M,W, 79_51 ,3.6
South Carolina St.,W, 101_39 ,22.4
Arkansas Pine Bluff,W, 72_51 ,8.9
Loyola Chicago,L, 62_44 ,-5.3
Houston,L, 82_69 ,-
North Texas,W, 60_45 ,5.2
Texas,L, 70_61 ,-7.6
West Virginia,L, 78_67 ,-5.3
Kansas,L, 86_54 ,-16.3
Kansas St.,L, 58_51 ,-5.1
TCU,L, 62_42 ,-9
Oklahoma St.,L, 63_43 ,-8.4
Iowa St.,W, 78_73 ,10.2
Oklahoma,L, 81_36 ,-16.2
West Virginia,L, 77_58 ,-10.5
Kansas St.,W, 64_47 ,4.7
Iowa St.,L, 75_38 ,-14.9
Kansas,L, 73_51 ,-7.5
Texas,L, 56_41 ,-4
Baylor,L, 54_49 ,-1.9
Oklahoma,L, 79_75 OT,-1.1
TCU,L, 71_54 ,-7.9
Oklahoma St.,W, 63_62 ,2
Baylor,L, 77_74 ,3.6
Texas,L, 65_53 ,-7.5
