Opponent,Results,Score,PlusMinus
Kansas,L, 69_59 ,-6.1
Florida Gulf Coast,L, 81_75 OT,-2.1
Washington St.,W, 71_43 ,14.1
Mercer,W, 65_60 OT,2.8
Colorado St.,L, 65_63 ,-0
Seattle,W, 87_46 ,18.6
SMU,L, 80_73 OT,-7.1
San Diego,L, 79_65 ,-7.6
Oregon,L, 82_78 OT,-1.1
Oregon St.,L, 76_64 ,0.5
Vermont,W, 64_57 ,0.7
Florida Gulf Coast,W, 63_50 ,9.7
Cal Poly,W, 50_45 ,-3.9
Cal St. Northridge,L, 74_63 ,-3.9
Long Beach St.,L, 69_53 ,-7.7
UC Riverside,W, 83_75 ,3.7
Cal St. Fullerton,W, 68_49 ,3.5
UC Davis,L, 70_64 ,-0.6
UC Irvine,L, 77_55 ,-6.8
Hawaii,W, 75_74 ,-6.6
Long Beach St.,W, 70_55 ,4.7
Cal St. Northridge,W, 65_57 ,2.2
UC Riverside,L, 64_62 ,-4.1
Cal St. Fullerton,W, 69_54 ,13.1
UC Davis,W, 74_60 ,3.3
UC Irvine,W, 54_51 ,-
Hawaii,W, 98_90 ,8.9
Cal Poly,W, 64_56 ,4.6
Cal Poly,W, 54_50 ,2.8
UC Irvine,L, 72_63 OT,-3.3
Oral Roberts,L, 91_87 ,-0.4
