Opponent,Results,Score,PlusMinus
New Mexico St.,W, 71_54 ,13.7
Memphis,W, 71_56 ,7.4
Tulsa,W, 75_55 ,10.4
Utah,L, 69_68 OT,1.1
Saint Louis,W, 81_52 ,17.7
Seton Hall,W, 77_68 ,10.2
Detroit,W, 77_68 ,2.2
Alabama,W, 53_52 ,-1.4
Loyola Marymount,W, 80_53 ,14
Hawaii,W, 80_79 OT,0.1
George Washington,L, 60_54 ,1.9
Drake,W, 66_58 ,3
Illinois St.,W, 70_62 ,4.7
Bradley,W, 63_43 ,1.8
Loyola Chicago,W, 67_53 ,4.7
Southern Illinois,W, 67_55 ,12.1
Evansville,W, 61_41 ,10.7
Missouri St.,W, 76_53 ,7.1
Drake,W, 74_40 ,14.4
Loyola Chicago,W, 58_47 ,5.4
Northern Iowa,L, 70_54 ,-9.6
Bradley,W, 62_59 ,9.1
Missouri St.,W, 78_35 ,18.5
Indiana St.,W, 74_57 ,8.6
Illinois St.,W, 68_62 ,5.2
Southern Illinois,W, 84_62 ,12.9
Evansville,W, 62_43 ,12
Indiana St.,W, 63_53 ,3
Northern Iowa,W, 74_60 ,6.8
Southern Illinois,W, 56_45 ,5.6
Illinois St.,L, 65_62 ,2.5
Indiana,W, 81_76 ,-0.5
Kansas,W, 78_65 ,3.3
Notre Dame,L, 81_70 ,-6.9
