Opponent,Results,Score,PlusMinus
Quinnipiac,L, 89_85 2OT,-
Illinois Chicago,W, 70_58 ,9
Southern Illinois,W, 53_46 ,5.3
Kent St.,W, 66_59 ,-2.7
Lafayette,W, 82_60 ,15.2
Providence,L, 72_66 ,-4.2
Hartford,W, 69_57 ,6.1
Bryant,W, 67_60 ,6.2
Connecticut,W, 45_44 ,4.1
Florida,L, 85_47 ,-18.3
Vermont,W, 57_56 ,0.3
Albany,L, 64_60 ,0.2
Sacred Heart,W, 70_64 ,5.1
Vanderbilt,L, 79_74 2OT,0.4
NJIT,L, 78_71 ,0.3
Brown,W, 80_62 ,8.7
Brown,W, 69_65 ,-0.5
Columbia,W, 63_59 ,0.7
Cornell,W, 65_57 ,4
Dartmouth,W, 81_66 ,8.8
Harvard,L, 52_50 ,-3.7
Penn,W, 75_48 ,12.4
Princeton,W, 81_73 ,5
Cornell,W, 62_51 ,8.6
Columbia,L, 56_50 ,-8.1
Princeton,W, 81_60 ,1.4
Penn,W, 55_50 ,-3.4
Harvard,W, 62_52 ,3.8
Dartmouth,L, 59_58 ,3.8
Harvard,L, 53_51 ,-1.7
