Opponent,Results,Score,PlusMinus
Kentucky,L, 78_65 ,-11
Boston University,L, 69_64 ,3
Colgate,W, 88_67 ,10
South Florida,L, 63_61 ,1.4
NJIT,W, 74_73 ,-0
Yale,W, 88_54 ,14.8
Quinnipiac,W, 58_54 ,0.9
Holy Cross,W, 88_84 OT,-0.3
Marist,W, 75_53 ,5.8
Siena,L, 78_70 ,-3
St. Francis PA,W, 65_58 ,3.9
Niagara,W, 65_56 ,4.8
St. Francis NY,W, 71_66 ,3.7
Cornell,W, 75_70 ,3.8
UMBC,W, 73_59 ,4.7
Vermont,W, 69_57 ,8.4
New Hampshire,W, 80_75 OT,-1.5
Maine,L, 81_79 ,2
Binghamton,W, 80_59 ,9.1
Stony Brook,L, 69_63 ,-0.8
UMass Lowell,W, 75_63 ,9.4
Hartford,W, 86_60 ,9.7
UMBC,W, 79_73 ,6
Vermont,W, 75_71 ,-0
Binghamton,W, 69_56 ,5.8
New Hampshire,L, 69_68 ,-0.8
Maine,W, 108_64 ,19
Stony Brook,W, 82_70 ,4.7
UMass Lowell,W, 86_61 ,7.1
Hartford,W, 75_59 ,4
Hartford,L, 68_59 ,-10
Ohio,L, 94_90 OT,-1.8
