Opponent,Results,Score,PlusMinus
Hofstra,L, 96_85 ,5.6
Lehigh,W, 98_89 ,-2.8
Cornell,W, 87_62 ,7.3
St. Bonaventure,L, 77_73 ,-2.6
Buffalo,L, 98_96 OT,-2.3
Monmouth,W, 96_86 ,9.1
Quinnipiac,L, 78_76 ,2.6
Penn St.,L, 81_67 ,-8.4
Kent St.,L, 84_77 ,-4.3
Boston University,W, 84_68 ,11.4
Louisiana Monroe,W, 108_96 3OT,-2.4
Nicholls St.,W, 83_74 ,2.3
Marist,W, 92_83 ,4.3
Monmouth,L, 81_66 ,-12.6
Manhattan,L, 94_86 ,-1.4
Saint Peter's,L, 70_53 ,-6.7
Dartmouth,L, 80_69 ,-3.2
Manhattan,W, 65_62 ,2.4
Quinnipiac,W, 63_53 ,3.2
Niagara,W, 70_61 ,1.2
Siena,L, 99_78 ,-8.9
Fairfield,L, 84_77 ,2.6
Rider,L, 79_68 ,-5.8
Iona,L, 84_66 ,-8.5
Rider,W, 67_61 ,3.7
Siena,L, 90_67 ,-11.4
Saint Peter's,L, 61_57 ,-1.9
Fairfield,L, 74_71 ,-0.8
Marist,W, 81_66 ,6.4
Niagara,W, 65_60 ,8.6
Iona,L, 86_78 ,2
Niagara,W, 102_97 3OT,2.2
Iona,L, 73_55 ,-12.1
