Opponent,Results,Score,PlusMinus
Milwaukee,L, 71_58 ,-3.5
Santa Clara,W, 55_33 ,6.5
Lipscomb,W, 82_72 ,-
Utah Valley,W, 75_62 ,11.9
Idaho St.,W, 79_69 ,8.5
South Alabama,W, 69_56 ,10.1
Wyoming,L, 68_52 ,-4
Air Force,L, 61_59 ,-0.1
San Diego,W, 59_47 ,5
Weber St.,W, 69_68 ,3.2
Northern Colorado,W, 81_77 ,-2.5
Eastern Washington,L, 74_58 ,-6.7
UC Riverside,L, 63_54 ,-6.5
South Dakota St.,L, 68_59 ,-5.2
North Dakota St.,L, 75_49 ,-8.9
Oral Roberts,W, 78_75 ,5.4
IPFW,L, 65_64 ,-3.2
Western Illinois,W, 76_69 ,11.5
IUPUI,L, 76_61 ,-7.7
Nebraska Omaha,L, 69_55 ,-5.2
South Dakota,W, 66_52 ,8.5
South Dakota St.,L, 67_56 ,1.8
IUPUI,W, 53_51 ,-6.1
Nebraska Omaha,W, 75_72 ,6
Western Illinois,L, 63_60 ,-4.2
IPFW,L, 88_84 ,-4.4
Oral Roberts,L, 62_58 ,-5.1
South Dakota,W, 76_71 ,4
North Dakota St.,W, 70_59 ,-0.5
Nebraska Omaha,W, 78_70 ,6
South Dakota St.,L, 54_53 ,0.6
