Opponent,Results,Score,PlusMinus
Grambling St.,W, 61_53 ,2.9
Charlotte,W, 88_74 ,4.4
California,L, 70_62 ,-5
San Diego St.,L, 79_54 ,-17.9
Arkansas Little Rock,L, 54_46 ,0.9
Stetson,W, 93_73 ,12
Florida Atlantic,W, 74_48 ,15.9
USC Upstate,W, 82_71 ,5.1
College of Charleston,L, 77_73 ,-10.9
North Carolina A&T,W, 71_60 ,2.7
UNC Wilmington,W, 78_73 ,-1
James Madison,L, 67_61 ,-2.4
South Carolina St.,W, 98_71 ,19.5
UCF,L, 71_68 ,1.8
Tulsa,L, 55_43 ,-14.9
Temple,L, 78_60 ,0.3
SMU,L, 79_55 ,-11.7
UCF,L, 89_69 ,-18.7
Tulsa,L, 84_69 ,-3.1
Memphis,W, 84_83 ,4.7
Temple,W, 64_61 ,-1.1
Houston,L, 97_93 2OT,-3.3
Connecticut,L, 85_67 ,-7.9
Tulane,L, 100_92 3OT,3.9
Cincinnati,L, 75_60 ,-4.9
South Florida,L, 69_52 ,-5.5
SMU,L, 74_63 ,-3.1
Tulane,W, 79_73 ,2.7
Cincinnati,L, 65_56 ,-6.3
South Florida,W, 52_39 ,10.1
Memphis,L, 83_53 ,-8.8
South Florida,L, 71_66 ,-1.1
