Opponent,Results,Score,PlusMinus
Coppin St.,W, 107_80 ,12.7
UNC Wilmington,L, 78_59 ,-9.4
Ball St.,W, 89_81 ,-1.1
South Carolina St.,W, 92_82 ,6.2
Longwood,W, 110_97 ,3.4
Southern Utah,W, 98_85 ,9.6
Western Kentucky,L, 86_84 ,-4.6
Savannah St.,W, 74_71 ,-1.7
Kentucky,L, 88_67 ,-9.3
Marshall,L, 96_72 ,-7.2
Florida Atlantic,W, 80_73 ,2.8
East Tennessee St.,L, 87_81 ,0.5
West Virginia,L, 84_59 ,-13.4
Manhattan,W, 76_64 ,16
Austin Peay,W, 79_70 ,6
Tennessee Martin,L, 78_70 ,-5.4
Southeast Missouri St.,W, 88_69 ,9.7
Eastern Illinois,L, 97_85 ,-6.1
SIU Edwardsville,L, 67_65 ,-0.6
Jacksonville St.,W, 91_88 ,3.3
Tennessee Tech,L, 89_83 ,-3.4
Murray St.,L, 75_71 ,0.5
Morehead St.,L, 70_67 ,-0.7
Tennessee St.,W, 97_81 ,9.5
Belmont,W, 88_78 ,6.7
Morehead St.,L, 61_50 ,-6.7
Tennessee St.,L, 79_78 ,2.5
Belmont,L, 86_78 ,-9.4
Jacksonville St.,W, 76_54 ,5.4
Tennessee Tech,L, 92_82 ,-3.7
