Opponent,Results,Score,PlusMinus
George Washington,L, 85_76 ,-13
Saint Peter's,W, 87_86 OT,4.6
NJIT,L, 80_66 ,-7.9
La Salle,L, 83_75 ,-10.6
Princeton,L, 104_52 ,-25.7
Penn,W, 92_86 ,10
St. Francis NY,L, 69_62 ,-0.7
Cornell,L, 85_67 ,-10.7
Fairleigh Dickinson,L, 91_89 OT,-4.2
Sacred Heart,W, 90_86 ,5.8
USC,L, 100_64 ,-10.8
Colgate,L, 77_70 ,5.6
Loyola MD,L, 81_78 ,-7.8
Army,W, 76_73 ,8.2
Boston University,L, 68_47 ,-13
Holy Cross,W, 65_52 ,5.8
Navy,L, 87_61 ,-8
American,L, 81_73 ,-3.8
Bucknell,L, 79_67 ,-2
Loyola MD,L, 84_77 ,-6.6
Army,L, 84_81 OT,5.4
Boston University,L, 89_82 OT,-4.8
Lehigh,L, 87_72 ,-1.7
Holy Cross,L, 67_53 ,-5.8
Navy,L, 74_68 ,5.6
American,L, 60_59 OT,0
Lehigh,L, 73_61 ,-8.5
Bucknell,L, 86_83 2OT,1.6
Colgate,W, 79_77 ,-4
Navy,L, 78_70 ,-6.4
