Opponent,Results,Score,PlusMinus
George Mason,W, 69_60 ,-2
Alabama St.,W, 70_49 ,11.8
Davidson,L, 77_71 ,-5.2
Tulane,L, 71_61 ,-6.1
Appalachian St.,W, 71_70 ,-1.6
Western Michigan,W, 68_65 ,7.3
Alcorn St.,W, 68_43 ,12.9
Auburn,L, 78_71 ,-2.5
Arkansas,W, 69_66 OT,2.2
Ohio St.,L, 64_44 ,-3.5
Kennesaw St.,W, 76_73 ,7.9
Samford,W, 69_50 ,13.1
Chattanooga,L, 74_62 ,-9.8
The Citadel,W, 91_80 ,8.7
Furman,W, 69_65 ,9.8
Wofford,W, 70_69 OT,-0.6
East Tennessee St.,L, 65_63 OT,1.6
Western Carolina,L, 86_80 2OT,1.4
VMI,W, 73_58 ,2.5
UNC Greensboro,W, 81_67 ,4.2
Samford,W, 85_70 ,6.9
The Citadel,W, 88_72 ,13.1
Chattanooga,L, 72_66 OT,-1.3
Wofford,L, 79_70 ,-8.5
Furman,L, 85_74 ,-0.5
Western Carolina,L, 72_65 ,-2.1
East Tennessee St.,L, 77_74 ,2
VMI,L, 91_82 ,-4.9
UNC Greensboro,L, 69_65 ,1.1
The Citadel,W, 71_69 ,-1.2
East Tennessee St.,L, 81_65 ,-4
Coastal Carolina,L, 65_57 ,-0.7
