Opponent,Results,Score,PlusMinus
Maryland,L, 80_56 ,-10.8
Ohio St.,L, 76_54 ,-14.7
Washington,L, 100_67 ,-17
Gonzaga,L, 101_56 ,-15.1
Elon,L, 79_74 ,-4.3
Furman,L, 69_60 ,-6.8
American,W, 81_56 ,9.9
Loyola MD,W, 85_68 ,10.5
Bucknell,W, 81_73 ,-6.1
UMBC,L, 75_63 ,-4.4
Lehigh,L, 76_73 ,-3.7
James Madison,L, 73_53 ,-10.7
Binghamton,L, 62_53 ,-6.1
LIU Brooklyn,W, 79_63 ,9.6
St. Francis NY,W, 44_40 OT,-1
Central Connecticut,W, 73_62 ,5.5
Bryant,L, 82_79 2OT,7.5
Robert Morris,W, 76_52 ,15.6
St. Francis PA,W, 82_72 ,2
Sacred Heart,L, 76_71 ,-0.2
Fairleigh Dickinson,W, 87_72 ,14.9
Robert Morris,W, 70_49 ,11.4
Wagner,L, 73_63 ,-9.2
LIU Brooklyn,L, 77_74 ,-0.2
Wagner,L, 72_51 ,-3.6
Sacred Heart,W, 66_61 ,-2.1
St. Francis PA,W, 66_61 ,0.3
Central Connecticut,L, 76_72 ,-2.1
Bryant,W, 71_53 ,7.3
Fairleigh Dickinson,L, 67_54 ,0.5
St. Francis NY,L, 55_49 ,-1.4
St. Francis NY,W, 60_51 ,-2
Fairleigh Dickinson,L, 80_75 ,1.1
