Opponent,Results,Score,PlusMinus
UC Davis,L, 79_66 ,-12.1
Colorado,L, 85_63 ,-8.8
Abilene Christian,W, 87_57 ,24.5
Alcorn St.,W, 97_65 ,17.4
Colorado St.,L, 90_74 ,-8.8
Southern Illinois,L, 80_79 ,-2
Portland St.,W, 78_72 ,2.5
Boise St.,L, 81_71 ,-1
Idaho St.,L, 66_65 ,1.8
Sacramento St.,W, 81_73 ,8.4
Weber St.,L, 92_82 OT,-4.7
Cal St. Fullerton,W, 65_60 ,1.4
Loyola Marymount,W, 87_60 ,9.6
Pepperdine,W, 87_79 ,9.1
San Francisco,L, 107_95 ,4
Santa Clara,L, 84_77 ,-1.9
Gonzaga,L, 85_74 ,-9
San Diego,L, 82_71 ,-5
BYU,W, 84_81 ,3.5
Pacific,L, 70_61 ,-4.1
Saint Mary's,L, 89_74 ,-11.1
San Francisco,L, 87_76 ,-8.5
Santa Clara,L, 90_84 ,-2.9
Pepperdine,W, 73_70 ,5.8
Loyola Marymount,W, 92_78 ,5.2
Gonzaga,L, 92_66 ,-9.5
Saint Mary's,L, 74_72 ,0.5
Pacific,W, 80_67 ,6.3
BYU,L, 99_81 ,-12.7
San Diego,L, 85_76 ,-8.1
Gonzaga,L, 92_67 ,-12.1
