Opponent,Results,Score,PlusMinus
Harvard,W, 76_64 ,4.7
Illinois,W, 60_59 ,1.9
Brown,W, 94_73 ,9.7
NJIT,W, 83_76 ,7.5
Evansville,W, 74_64 ,6.4
Arizona,W, 69_65 ,0.1
Michigan St.,L, 77_64 ,0.1
Hartford,W, 89_66 ,10.8
Rhode Island,W, 74_72 ,0.6
Boston College,W, 66_51 ,9.2
Bryant,W, 74_67 ,-0.7
Rider,W, 73_65 ,9.2
Massachusetts,W, 90_66 ,13.5
Butler,W, 81_73 ,-0.7
St. John's,W, 83_65 ,7.4
Marquette,L, 65_64 ,-3.7
Creighton,W, 50_48 ,-4.5
Seton Hall,L, 81_72 ,-5.4
Butler,W, 71_68 ,-1.2
Villanova,W, 82_76 OT,-1.9
Xavier,L, 75_68 ,-6
Georgetown,W, 73_69 ,4.9
DePaul,L, 77_70 ,-4.1
Villanova,L, 72_60 ,-11.3
Marquette,L, 96_91 2OT,-1.1
Georgetown,W, 75_72 ,11.3
Xavier,L, 85_74 ,-11.6
Seton Hall,L, 70_52 ,-9.2
DePaul,W, 87_66 ,6.4
Creighton,W, 70_66 ,0.4
St. John's,W, 90_76 ,14.1
Butler,W, 74_60 ,6.5
Villanova,L, 76_68 ,-5.9
USC,W, 70_69 ,0
North Carolina,L, 85_66 ,-4.1
