Opponent,Results,Score,PlusMinus
California,L, 97_65 ,-15.2
San Francisco,L, 80_54 ,-14.4
Oregon St.,L, 77_69 ,-6.3
Fresno St.,L, 82_65 ,-6.6
Lamar,W, 92_84 ,5.9
UC Riverside,W, 87_81 ,5.4
UT Arlington,L, 92_74 ,-9.9
Houston Baptist,L, 77_73 ,2.5
New Mexico,W, 90_89 ,-2.6
South Alabama,L, 74_67 ,-3.2
Incarnate Word,L, 82_76 ,-4.2
UTEP,L, 61_60 ,-6.2
UTSA,L, 85_80 ,-7.5
North Texas,L, 85_74 ,-12.2
Western Kentucky,W, 83_73 ,-2.1
Marshall,L, 94_90 ,-3.4
UAB,L, 82_70 ,-6.4
Middle Tennessee,L, 87_73 ,-12.4
North Texas,W, 95_87 ,4.2
Louisiana Tech,L, 90_78 ,-0.5
Southern Miss,W, 72_65 ,4.7
Charlotte,L, 102_73 ,-2.6
Old Dominion,W, 75_66 ,5.5
Florida Atlantic,W, 90_85 ,1.6
FIU,W, 86_70 ,12.4
Southern Miss,W, 76_74 OT,-2.4
Louisiana Tech,L, 88_69 ,-13.9
Charlotte,L, 88_75 ,-6.6
Old Dominion,L, 74_67 ,-8.5
Charlotte,L, 79_69 ,-7
