Opponent,Results,Score,PlusMinus
Lipscomb,L, 65_63 2OT,-1.5
Denver,L, 55_33 ,-6.5
Milwaukee,L, 71_65 ,1.9
UC Riverside,L, 77_63 ,-6.8
UC Irvine,L, 79_61 ,-18.4
Arizona,L, 75_73 OT,-4.4
Evansville,L, 69_57 ,-5.4
Boston College,W, 62_45 ,8
San Jose St.,W, 78_75 ,5.9
Arkansas Pine Bluff,W, 69_57 ,-1.2
Nevada,L, 72_69 ,-1.2
Pacific,L, 73_72 OT,5.4
Saint Mary's,L, 81_59 ,-7.7
Gonzaga,L, 79_77 ,-1.8
Portland,W, 84_77 ,1.9
BYU,L, 97_61 ,-14.1
San Diego,W, 65_53 ,5.1
Pepperdine,W, 62_60 ,4.2
Loyola Marymount,L, 76_66 ,-6
San Francisco,L, 74_61 ,2.1
Gonzaga,L, 84_67 ,-17.9
Portland,W, 90_84 ,2.9
San Francisco,L, 89_86 OT,-4.6
San Diego,W, 74_71 ,2
BYU,L, 96_62 ,-12.9
Loyola Marymount,W, 76_72 ,-2.7
Pepperdine,L, 88_76 ,-3.7
Saint Mary's,L, 75_50 ,-12
Pacific,W, 69_65 ,-3.3
BYU,L, 72_60 ,-7.2
