Opponent,Results,Score,PlusMinus
Campbell,W, 59_57 ,-3.4
Arkansas St.,W, 76_75 ,-1.3
Oregon,L, 77_59 ,-11.8
Baylor,L, 100_61 ,-11.9
Jackson St.,L, 69_42 ,-1.1
South Florida,L, 67_57 ,-4
Georgia Southern,W, 76_67 ,2.9
Eastern Kentucky,L, 74_71 ,1.7
Utah,L, 99_53 ,-21.2
Missouri,L, 81_50 ,-13.5
Florida A&M,L, 61_58 ,3.9
North Carolina A&T,W, 75_68 ,3.1
North Carolina Central,L, 69_46 ,-6.6
Maryland Eastern Shore,W, 68_61 ,5.2
Delaware St.,W, 64_47 ,12.7
Hampton,L, 75_52 ,-5.8
Norfolk St.,L, 92_73 ,-16
North Carolina A&T,L, 63_62 ,-0.5
Bethune Cookman,L, 62_59 ,-2.1
Morgan St.,W, 57_49 ,0.9
Coppin St.,W, 72_63 OT,3
South Carolina St.,W, 60_57 ,0.7
Howard,W, 66_56 ,8
South Carolina St.,W, 76_64 ,1.4
North Carolina Central,L, 61_44 ,-9.6
Florida A&M,W, 52_40 ,2.2
Delaware St.,W, 63_58 ,-4.3
Bethune Cookman,W, 57_50 ,3.1
Hampton,L, 89_55 ,-9.5
UT Arlington,L, 75_59 ,-14.4
