Opponent,Results,Score,PlusMinus
Boston College,L, 75_49 ,-17.4
Saint Louis,L, 76_60 ,-1.9
Louisville,L, 85_41 ,-16
North Florida,L, 78_65 ,-13.4
Hartford,W, 74_67 ,-1.2
Lafayette,W, 69_62 ,0.7
St. John's,L, 63_56 ,-3
NJIT,L, 92_86 OT,-3.1
Manhattan,L, 71_60 ,-9.5
Liberty,W, 64_55 ,-2.8
Saint Peter's,L, 56_45 ,-3.5
Albany,L, 71_66 ,-3.7
Fairleigh Dickinson,L, 86_77 ,-3.4
Mount St. Mary's,L, 44_40 OT,1
St. Francis PA,W, 73_56 ,6.9
Robert Morris,W, 56_49 ,-0.4
Bryant,L, 61_59 ,1.3
Sacred Heart,W, 85_67 ,17.6
Wagner,L, 83_59 ,-9.1
LIU Brooklyn,W, 64_49 ,-1.2
Wagner,L, 64_61 ,-3.3
Central Connecticut,W, 60_49 ,3
Sacred Heart,L, 74_70 ,-5.8
Fairleigh Dickinson,W, 85_71 ,6.5
Central Connecticut,W, 74_67 ,-4
LIU Brooklyn,L, 82_67 ,-9.8
St. Francis PA,W, 70_58 ,5.6
Robert Morris,W, 82_72 ,1.2
Bryant,W, 79_72 ,0.5
Mount St. Mary's,W, 55_49 ,1.4
Mount St. Mary's,L, 60_51 ,2
