Opponent,Results,Score,PlusMinus
Baylor,L, 97_55 ,-15.4
Northern Iowa,L, 70_60 ,-9.8
Western Michigan,W, 79_71 ,7.1
Tulane,L, 60_59 ,11.1
Appalachian St.,W, 94_84 ,7
Texas Southern,W, 66_62 ,-5.3
Arizona St.,L, 80_73 ,-5.4
UAB,L, 76_66 ,5
McNeese St.,W, 86_57 ,11.4
Southeastern Louisiana,W, 89_69 ,9.8
Central Arkansas,W, 85_64 ,10.5
Abilene Christian,W, 97_62 ,10.2
New Orleans,W, 82_58 ,13.2
Sam Houston St.,W, 76_64 ,11.7
Lamar,W, 86_52 ,19.7
Texas A&M Corpus Chris,W, 66_61 ,-0.9
Houston Baptist,W, 72_66 ,4.2
Northwestern St.,W, 83_72 ,9.3
Texas A&M Corpus Chris,W, 70_58 ,4.6
Incarnate Word,W, 84_46 ,13.8
Nicholls St.,W, 88_53 ,14.5
Lamar,W, 79_58 ,12.1
Houston Baptist,W, 82_54 ,8.5
Incarnate Word,W, 84_58 ,11.7
Northwestern St.,W, 95_55 ,12.6
Sam Houston St.,W, 85_64 ,10
Houston Baptist,W, 104_68 ,15.6
Texas A&M Corpus Chris,W, 82_60 ,14.4
West Virginia,W, 70_56 ,2.5
Notre Dame,L, 76_75 ,-0.6
