Opponent,Results,Score,PlusMinus
Auburn,L, 75_74 ,-6.1
Alabama St.,W, 72_70 ,1.3
Troy,W, 79_63 ,7.5
Jacksonville St.,W, 61_55 ,1.2
Illinois,L, 72_58 ,-6.7
Virginia Tech,L, 82_77 OT,1.4
Georgia St.,W, 64_57 ,6
Illinois St.,W, 74_61 ,-0.2
Seattle,W, 79_73 ,6.9
USC Upstate,W, 96_54 ,8.8
South Florida,W, 79_68 ,7.3
Stephen F. Austin,W, 76_66 ,-5
Middle Tennessee,W, 78_67 ,-3.4
UTSA,W, 104_82 ,12.2
UTEP,W, 87_80 ,8.4
Old Dominion,W, 72_71 OT,4.1
Charlotte,W, 74_72 ,7.5
Rice,W, 82_70 ,6.4
North Texas,W, 78_57 ,2.4
Western Kentucky,L, 69_62 ,-5.4
Marshall,W, 81_78 ,4
FIU,W, 74_69 ,6.8
Florida Atlantic,W, 104_67 ,15
Southern Miss,W, 80_77 2OT,2.4
Louisiana Tech,L, 85_76 ,0.4
Middle Tennessee,W, 77_67 ,8.2
Marshall,W, 95_91 ,-1.1
Western Kentucky,W, 71_67 ,0.7
FIU,W, 77_60 ,8.6
Florida Atlantic,W, 73_70 ,4
Western Kentucky,L, 88_77 ,-8.9
BYU,L, 97_79 ,-10.8
