Opponent,Results,Score,PlusMinus
Monmouth,L, 84_81 OT,2.7
Cal Poly,W, 88_83 ,6.3
Pepperdine,W, 81_67 ,13.5
UNLV,W, 77_75 ,1.1
Kansas,L, 92_73 ,-18.8
Wake Forest,L, 80_77 ,-3.3
Cal St. Northridge,W, 77_45 ,15.9
Kentucky,W, 87_77 ,8
Long Beach St.,W, 83_76 ,0.4
Gonzaga,W, 71_66 ,2.1
Louisiana Lafayette,W, 89_80 ,9.6
North Carolina,L, 89_76 ,-1
McNeese St.,W, 67_53 ,6.2
Washington,L, 96_93 2OT,0.8
Washington St.,L, 85_78 ,-4.8
Arizona,W, 87_84 ,6.4
Arizona St.,W, 81_74 ,1.2
USC,L, 89_75 ,-9.9
Oregon St.,W, 82_73 ,7.1
Oregon,L, 86_72 ,-6.6
Washington,L, 86_84 ,-9.1
Washington St.,W, 83_50 ,10.1
USC,L, 80_61 ,-9.7
Arizona,L, 81_75 ,3.9
Arizona St.,W, 78_65 ,4.9
Utah,L, 75_73 ,-3.1
Colorado,W, 77_53 ,12.8
California,L, 75_63 ,-8.3
Stanford,L, 79_70 ,-3.6
Oregon,L, 76_68 ,0.5
Oregon St.,L, 86_82 ,-6.3
USC,L, 95_71 ,-14.3
