Opponent,Results,Score,PlusMinus
Indiana St.,L, 70_55 ,-7.7
Montana St.,L, 83_82 ,-0.8
Cal St. Bakersfield,W, 68_64 ,2.6
Montana St.,W, 82_68 ,1.1
Denver,W, 68_52 ,4
California,L, 78_72 OT,-3.1
Southern,L, 68_58 ,-7.5
New Mexico St.,W, 62_59 ,3.6
Nebraska Omaha,W, 76_75 ,0.9
Marshall,L, 90_82 ,-3
Houston,L, 94_89 2OT,-4
San Diego St.,L, 67_55 ,-10.1
Nevada,L, 71_68 ,-2.4
Air Force,W, 64_52 ,6.3
UNLV,W, 59_57 ,-4.7
San Jose St.,L, 62_55 ,-4.5
New Mexico,W, 70_68 ,1.5
Nevada,L, 75_69 ,0.7
Boise St.,L, 81_71 ,-1.4
Fresno St.,L, 71_60 ,1
Colorado St.,W, 83_76 ,3.4
Air Force,L, 70_62 ,3.8
Utah St.,W, 84_65 ,8.7
Boise St.,L, 94_71 ,-7
Fresno St.,L, 79_75 ,-5.3
Colorado St.,W, 84_66 ,13.7
San Diego St.,L, 73_61 ,-4.2
UNLV,L, 79_74 ,-4.5
San Jose St.,W, 81_78 ,-0.3
Utah St.,L, 88_70 ,-13.3
