Opponent,Results,Score,PlusMinus
Kent St.,L, 79_70 ,-7
Toledo,L, 100_78 ,-12.1
Florida Gulf Coast,L, 104_101 3OT,2.2
Bowling Green,L, 79_72 ,-5.5
North Dakota,W, 79_69 ,8.9
Niagara,W, 88_70 ,4.1
Robert Morris,W, 65_58 ,6.4
American,L, 60_56 ,2.1
Purdue,L, 95_64 ,-8.6
Michigan,L, 105_46 ,-22.3
Notre Dame,L, 87_78 ,-9.3
Detroit,L, 96_87 ,-1.6
Oakland,W, 100_98 ,3.6
Milwaukee,L, 81_65 ,-13.2
Green Bay,W, 103_93 ,7.1
Northern Kentucky,L, 84_64 ,-15.7
Wright St.,L, 81_45 ,-13.7
Valparaiso,L, 96_65 ,-19.6
Cleveland St.,W, 70_55 ,3.4
Illinois Chicago,W, 82_78 ,10
Valparaiso,L, 97_68 ,-17.1
Oakland,L, 107_85 ,-16.5
Detroit,L, 94_92 ,-1
Cleveland St.,L, 64_59 ,-6.8
Illinois Chicago,W, 92_91 2OT,-2.4
Green Bay,L, 107_90 ,3.4
Milwaukee,L, 87_51 ,-8.9
Wright St.,L, 87_81 ,-7.5
Northern Kentucky,W, 94_75 ,8.9
Detroit,L, 92_79 ,-6.8
