Opponent,Results,Score,PlusMinus
Northeastern,L, 87_77 ,-8.9
Northeastern,W, 65_63 ,-1.4
Maine,W, 102_78 ,6.9
LIU Brooklyn,W, 86_69 ,14.4
Western New England,W, 91_54 ,-
Saint Peter's,L, 80_67 ,-4.6
Connecticut,L, 51_49 ,-2.3
North Carolina St.,L, 77_73 ,-6.5
Canisius,L, 87_77 ,-4.3
Syracuse,L, 99_77 ,-5.7
New Hampshire,W, 73_69 ,3
UMass Lowell,L, 77_75 ,1.9
Holy Cross,W, 61_55 ,0.2
Lehigh,W, 75_61 ,9.7
Navy,W, 71_53 ,6.3
Lafayette,W, 91_75 ,7.5
American,W, 76_66 ,8.2
Loyola MD,L, 77_69 ,-11.8
Colgate,L, 67_58 ,-1
Bucknell,L, 70_59 ,2.8
Army,W, 90_89 OT,3
Lehigh,W, 76_59 ,7.6
Navy,L, 70_61 ,-4.7
Lafayette,W, 75_58 ,3.9
American,W, 67_64 ,-3
Loyola MD,W, 78_63 ,6.9
Colgate,W, 69_68 ,7.6
Bucknell,L, 86_66 ,-11.6
Army,L, 73_62 ,2.5
Holy Cross,W, 71_68 OT,-0.2
Loyola MD,W, 64_60 ,8.8
Lehigh,L, 91_88 2OT,-5.6
