Opponent,Results,Score,PlusMinus
Hartford,W, 75_60 ,8.1
Seton Hall,L, 82_58 ,-16.9
Binghamton,L, 72_70 ,0.6
Penn,L, 87_65 ,-9.1
Maine,W, 82_61 ,10
Brown,L, 75_58 ,-4.6
Rutgers,L, 79_37 ,-12.6
Duquesne,L, 70_67 ,0.1
Yale,L, 90_59 ,-13.8
UMass Lowell,L, 86_69 ,-13.7
Fordham,L, 83_60 ,-14.4
Wagner,L, 71_46 ,-8.1
St. Francis NY,L, 86_77 OT,-3.7
Sacred Heart,L, 64_62 ,-2.2
Mount St. Mary's,L, 77_68 ,-4.3
LIU Brooklyn,L, 60_49 ,-3.4
Fairleigh Dickinson,L, 59_47 ,-1.1
Robert Morris,L, 74_67 ,-6.1
St. Francis PA,W, 84_83 OT,3
Bryant,L, 65_54 ,0.9
LIU Brooklyn,W, 61_52 ,3.4
Wagner,L, 70_60 ,-4.6
Mount St. Mary's,W, 54_52 ,-5.9
Fairleigh Dickinson,L, 79_62 ,-14.4
Sacred Heart,L, 77_62 ,-8.3
St. Francis PA,L, 80_71 ,-1.4
Robert Morris,L, 74_64 ,-7.2
St. Francis NY,W, 62_53 ,3
Bryant,L, 91_77 ,-8.3
