Opponent,Results,Score,PlusMinus
Stony Brook,W, 73_66 ,2.7
Saint Joseph's,L, 85_65 ,-15.4
Quinnipiac,W, 86_78 ,7.4
Army,L, 88_83 ,2.1
Colgate,W, 81_78 OT,8.7
Hofstra,L, 88_86 ,-3.8
Seton Hall,L, 95_71 ,-8.3
Navy,L, 69_54 ,-8.9
Manhattanville,W, 84_42 ,-
Miami FL,L, 78_67 ,-7.6
Albany,L, 70_67 ,0.6
Maine,W, 98_73 ,10.5
Howard,W, 66_48 ,10.9
Cornell,W, 79_75 ,2.9
Cornell,L, 67_62 ,-1.1
Dartmouth,W, 66_54 ,8.2
Harvard,W, 65_62 ,5.3
Yale,L, 87_78 ,-2.1
Brown,W, 83_78 ,11.2
Penn,L, 70_62 ,-3.5
Princeton,L, 61_59 ,-7.4
Harvard,L, 78_72 ,-10
Dartmouth,L, 80_79 OT,-0.6
Princeton,L, 64_45 ,-9.7
Penn,W, 70_67 ,1.1
Brown,L, 88_68 ,-11.5
Yale,L, 75_71 ,3
