Opponent,Results,Score,PlusMinus
Appalachian St.,W, 86_74 ,-1.5
Clemson,L, 95_78 ,-10.4
Missouri,W, 70_55 ,11.2
Arizona St.,W, 68_60 ,6.9
Charlotte,W, 79_57 ,13.7
Mercer,W, 78_57 ,13.9
College of Charleston,L, 76_61 ,2
North Carolina,L, 83_74 ,-6.1
Kansas,L, 89_71 ,-3.9
Jacksonville,W, 75_60 ,4.1
Hartford,W, 105_75 ,10
Richmond,L, 82_80 ,-6
George Washington,L, 73_69 ,-3.9
Saint Louis,W, 77_66 ,10.1
Fordham,L, 60_54 ,-2.2
VCU,W, 69_63 ,2.6
La Salle,L, 91_83 ,-4.1
Duquesne,W, 74_60 ,12.7
Fordham,W, 84_66 ,13.5
Saint Joseph's,W, 75_60 ,9.7
Rhode Island,L, 70_59 ,1.7
George Mason,L, 76_69 ,-2.6
VCU,L, 74_60 ,-1.6
George Washington,W, 74_63 ,3.5
Massachusetts,W, 79_74 ,6
Richmond,L, 84_76 ,-4.2
Dayton,L, 89_82 OT,2.2
St. Bonaventure,W, 68_63 ,7
Rhode Island,L, 73_70 OT,1.8
La Salle,W, 82_73 ,9
Dayton,W, 73_67 ,6.3
Rhode Island,L, 84_60 ,-10.6
