Opponent,Results,Score,PlusMinus
New Mexico,L, 81_70 ,-0.2
Utah Valley,L, 82_73 ,-0.5
Utah St.,L, 85_51 ,-11.5
Eastern Kentucky,L, 91_82 OT,2.3
NJIT,L, 71_67 ,-3.2
Texas Tech,L, 91_58 ,-13.6
Lamar,W, 77_60 ,8.7
Cal St. Northridge,L, 79_76 ,1
Wisconsin,L, 78_44 ,-16.4
Bristol University,W, 80_61 ,-
Montana Tech,W, 76_46 ,-
Boise St.,L, 82_59 ,-7.9
BYU,L, 84_58 ,-11.3
Montana,L, 74_62 ,-8.2
Montana St.,L, 80_63 ,-11
Eastern Washington,L, 92_85 ,-6.2
Idaho,L, 77_62 ,-3.9
Northern Colorado,W, 73_69 ,-6.9
North Dakota,L, 89_64 ,-0.6
Weber St.,L, 85_73 ,-11.1
Weber St.,L, 96_74 ,-8.6
Northern Arizona,W, 91_90 OT,-7.8
Southern Utah,W, 94_68 ,13.8
Portland St.,L, 74_69 ,3.7
Sacramento St.,L, 75_63 ,-4.9
North Dakota,L, 77_61 ,-6.7
Northern Colorado,L, 87_81 ,-9.7
Idaho,L, 69_61 ,-6.1
Eastern Washington,L, 89_77 ,-11.2
Montana St.,L, 79_68 ,-3.2
Montana,L, 95_76 ,-8.4
Sacramento St.,L, 91_76 ,-3.6
