Opponent,Results,Score,PlusMinus
Stephen F. Austin,W, 87_64 ,14.1
Canisius,W, 93_69 ,6.2
Michigan St.,W, 69_48 ,8.2
Duquesne,W, 93_59 ,17
Cleveland St.,W, 101_70 ,19.2
Tennessee Martin,W, 111_76 ,13.5
Arizona St.,W, 115_69 ,21.9
UCLA,L, 97_92 ,-3.2
Valparaiso,W, 87_63 ,17.4
Hofstra,W, 96_73 ,12.2
North Carolina,W, 103_100 ,4.4
Louisville,L, 73_70 ,-0.6
Mississippi,W, 99_76 ,15.8
Texas A&M,W, 100_58 ,19.9
Arkansas,W, 97_71 ,6
Vanderbilt,W, 87_81 ,3.3
Auburn,W, 92_72 ,8.3
Mississippi St.,W, 88_81 ,8.4
South Carolina,W, 85_69 ,10.4
Tennessee,L, 82_80 ,-3.5
Kansas,L, 79_73 ,2.1
Georgia,W, 90_81 OT,-1.4
Florida,L, 88_66 ,-9.2
LSU,W, 92_85 ,12
Alabama,W, 67_58 ,8.1
Tennessee,W, 83_58 ,11.8
Georgia,W, 82_77 ,1
Missouri,W, 72_62 ,2.7
Florida,W, 76_66 ,-1.6
Vanderbilt,W, 73_67 ,-6.2
Texas A&M,W, 71_63 ,1.1
Georgia,W, 71_60 ,10
Alabama,W, 79_74 ,1.4
Arkansas,W, 82_65 ,8.9
Northern Kentucky,W, 79_70 ,10.7
Wichita St.,W, 65_62 ,1.5
UCLA,W, 86_75 ,3.2
North Carolina,L, 75_73 ,-3.7
