Opponent,Results,Score,PlusMinus
Muskingum,W, 84_57 ,-
Wright St.,L, 89_87 ,-6.3
Delaware,L, 68_66 ,-4.8
Austin Peay,W, 76_70 ,8.6
Northern Kentucky,L, 79_70 ,-2.5
Western Illinois,W, 81_72 ,-1.7
Grambling St.,W, 78_76 OT,-5.4
Fort Wayne,L, 87_71 ,-14.5
Missouri,L, 81_55 ,-9.4
IUPUI,W, 71_68 ,12.5
UCF,L, 80_73 OT,-4.6
Tennessee Tech,W, 66_58 ,1
Olivet College,W, 89_69 ,-
Northern Illinois,W, 69_67 ,2.8
Toledo,L, 91_76 ,-13.7
Ball St.,L, 85_74 ,-8.7
Akron,L, 74_70 ,-3.2
Northern Illinois,L, 62_58 ,-4
Central Michigan,L, 101_92 ,0.2
Buffalo,W, 75_74 ,-6.1
Eastern Michigan,L, 74_57 ,-11.5
Bowling Green,L, 83_72 ,-10.4
Kent St.,L, 66_62 ,-8.5
Western Michigan,L, 72_55 ,-3.7
Central Michigan,W, 81_76 ,-2.8
Kent St.,L, 76_72 ,1.5
Buffalo,L, 71_58 ,-6.3
Ohio,L, 79_62 ,-8.6
Bowling Green,L, 70_54 ,-6.1
Akron,W, 79_75 ,-6.1
Ohio,L, 69_55 ,-8.6
Western Michigan,L, 65_61 ,0.5
