Opponent,Results,Score,PlusMinus
Norfolk St.,W, 78_74 ,3
UCF,L, 86_61 ,-17.8
Boise St.,W, 80_68 ,7.7
UTEP,W, 61_54 ,-1.3
Lehigh,L, 87_73 ,-6.7
Northwestern St.,W, 65_59 ,-0.9
Oregon St.,W, 74_57 ,15.9
Georgia St.,W, 82_60 ,6.7
East Tennessee St.,L, 67_65 ,-4.4
Southern Miss,W, 86_44 ,13.7
Morehead St.,W, 85_76 ,-1
UMKC,W, 77_54 ,11.3
Alabama,L, 68_58 ,-4.8
LSU,W, 95_78 ,11.7
Arkansas,W, 84_78 ,2.3
Texas A&M,W, 67_59 ,-0.3
Kentucky,L, 88_81 ,-8.4
Tennessee,L, 91_74 ,-6.1
Missouri,W, 89_74 ,0.8
Alabama,L, 71_62 ,-2.8
Mississippi,L, 88_61 ,-10.2
Tennessee,W, 64_59 ,-9.3
Auburn,L, 98_92 ,-10.6
South Carolina,L, 77_73 ,-1.8
Georgia,L, 79_72 ,-0.7
Florida,L, 57_52 ,-3.1
Mississippi,L, 87_82 OT,-1.2
Vanderbilt,L, 77_48 ,-11.5
South Carolina,L, 63_57 ,-2.6
LSU,W, 88_76 ,10.6
LSU,W, 79_52 ,5.1
Alabama,L, 75_55 ,-10.8
