Opponent,Results,Score,PlusMinus
Arizona Christian,W, 100_52 ,-
Colorado St.,L, 64_61 ,1.5
Samford,W, 58_48 ,3.3
New Mexico,L, 72_59 ,-4
Bethune Cookman,W, 89_73 ,9.7
Nicholls St.,W, 86_74 ,3.8
San Diego,W, 56_51 ,-0.9
Air Force,W, 78_70 ,0.9
Long Beach St.,W, 93_85 ,3.2
New Mexico,W, 84_71 ,7.4
UTEP,W, 79_68 ,11.8
Arizona St.,W, 81_70 ,5.4
UC Irvine,W, 85_79 OT,-1.2
Eastern New Mexico,W, 84_50 ,-
UTEP,W, 79_70 ,4.6
UMKC,W, 77_64 ,8.5
Chicago St.,W, 78_62 ,11.6
Grand Canyon,W, 81_69 ,6.9
Cal St. Bakersfield,W, 63_58 ,-2.3
UMKC,W, 94_71 ,12.3
Seattle,W, 71_56 ,6.1
Utah Valley,W, 74_69 ,-2.4
Northern New Mexico,W, 98_75 ,-
Chicago St.,W, 86_51 ,20.6
Cal St. Bakersfield,L, 72_53 ,-10.6
Grand Canyon,L, 83_71 ,-0.9
UT Rio Grande Valley,W, 107_101 ,4
Utah Valley,L, 84_72 ,-3.1
Seattle,W, 86_53 ,14.3
UT Rio Grande Valley,W, 107_81 ,6.9
Chicago St.,W, 67_53 ,2.7
UMKC,W, 78_60 ,4.8
Cal St. Bakersfield,W, 70_60 ,-3.1
Baylor,L, 91_73 ,-4.9
