Opponent,Results,Score,PlusMinus
Marshall,L, 81_69 ,-4.9
Ohio St.,L, 69_63 ,-4
Western Carolina,W, 67_59 ,3.1
Jackson St.,W, 84_75 ,7.5
Northern Kentucky,W, 82_74 ,4.3
Missouri,W, 62_52 ,5.3
Southern Wesleyan,W, 92_55 ,-
East Carolina,L, 69_56 ,-7.8
LIU Brooklyn,W, 79_56 ,12.1
Coastal Carolina,L, 70_67 ,-7.8
LSU,L, 70_66 ,3.9
McNeese St.,W, 74_66 ,4
Truett-McConnell,W, 88_54 ,-
Montreat,W, 101_66 ,-
Delaware St.,L, 69_68 ,-3.8
Maryland Eastern Shore,W, 69_52 ,6.5
Norfolk St.,W, 72_57 ,7.6
Hampton,W, 64_51 ,3.2
Howard,W, 74_39 ,21.1
North Carolina A&T,W, 82_59 ,7.2
Delaware St.,W, 82_74 ,12.8
Morgan St.,W, 68_62 ,8.8
Coppin St.,W, 86_77 ,9.5
South Carolina St.,W, 85_62 ,11
Florida A&M,W, 78_73 ,3.7
Maryland Eastern Shore,W, 82_69 ,8.4
Howard,W, 66_59 ,6.6
Bethune Cookman,W, 78_63 ,7.4
Savannah St.,L, 74_73 ,-4.5
North Carolina A&T,L, 68_63 ,2
Bethune Cookman,W, 95_60 ,15.3
Maryland Eastern Shore,W, 79_49 ,-
Norfolk St.,W, 67_59 ,3.3
UC Davis,L, 67_63 ,-2.4
