Opponent,Results,Score,PlusMinus
Campbell,W, 102_65 ,9.9
Central Arkansas,W, 102_90 ,7.6
New Orleans,W, 117_72 ,26.9
Connecticut,W, 98_90 ,10.8
North Carolina,L, 107_75 ,-14.8
Georgetown,W, 97_70 ,10.2
Rogers State,W, 101_85 ,-
Maryland,L, 71_70 ,4.7
Tulsa,W, 71_67 ,3.9
Arkansas Pine Bluff,W, 102_66 ,17
Wichita St.,W, 93_76 ,14.6
Texas A&M Corpus Chris,W, 92_70 ,12.7
West Virginia,L, 92_75 ,-10.6
Texas,L, 82_79 ,-1.6
Baylor,L, 61_57 ,0.3
Iowa St.,L, 96_86 ,-3.6
Kansas,L, 87_80 ,1.9
Kansas St.,L, 96_88 ,-0.7
Texas Tech,W, 83_64 ,12.7
TCU,W, 89_76 ,5.1
Arkansas,W, 99_71 ,17.3
Oklahoma,W, 68_66 ,0
West Virginia,W, 82_75 ,1.2
Baylor,L, 72_69 ,-4.9
Texas,W, 84_71 ,7.7
TCU,W, 71_68 ,1.9
Oklahoma,W, 96_92 ,-4.2
Kansas St.,W, 80_68 ,-1.5
Texas Tech,W, 80_63 ,9.4
Iowa St.,L, 86_83 ,-2.6
Kansas,L, 90_85 ,-4.7
Iowa St.,L, 92_83 ,-6.7
Michigan,L, 92_91 ,0.2
