Opponent,Results,Score,PlusMinus
UNLV,W, 76_68 ,2.8
Blue Mountain College,W, 88_35 ,-
FIU,W, 69_64 OT,-1.3
Youngstown St.,W, 84_75 ,4.3
Jacksonville,W, 71_58 ,5.8
Eastern Illinois,L, 72_62 ,-4.2
Southern Miss,W, 78_55 ,9.5
Middle Tennessee,L, 67_55 ,-7.4
Stetson,L, 87_78 ,-0.1
Denver,L, 64_51 ,-2.8
Samford,L, 82_79 ,-4.3
Spring Hill,W, 71_50 ,-
Mississippi,L, 92_58 ,-12.6
Troy,W, 76_75 ,-0.3
Georgia St.,L, 78_77 ,2
Georgia Southern,L, 84_79 OT,-1.3
Texas St.,W, 72_67 OT,-1.7
UT Arlington,L, 89_83 ,-2.6
Little Rock,L, 73_56 ,-9.4
Arkansas St.,L, 74_62 ,-5.3
Georgia Southern,W, 78_66 ,-2.1
Georgia St.,L, 83_80 ,-6.1
Troy,W, 76_71 ,1.3
Louisiana Monroe,W, 66_63 ,1.6
Louisiana Lafayette,L, 87_61 ,-8.7
Appalachian St.,W, 87_74 ,-0.6
Coastal Carolina,L, 81_77 OT,3.9
UT Arlington,L, 86_75 ,-8.4
Texas St.,L, 90_64 ,-12.2
Little Rock,L, 62_57 ,7.6
Arkansas St.,W, 73_70 ,-1.7
Coastal Carolina,L, 80_67 ,-6.8
