Opponent,Results,Score,PlusMinus
Millsaps,W, 85_39 ,-
Tulane,L, 93_76 ,-3.1
Jackson St.,W, 84_71 ,7.8
Xavier (LA),W, 89_72 ,-
UTEP,W, 72_56 ,8.2
Colorado St.,L, 67_59 ,-8.5
California,L, 67_55 ,-13
Maryland Eastern Shore,W, 85_75 ,4.6
Louisiana Tech,L, 88_59 ,-14.5
Florida A&M,W, 108_69 ,15.8
Toledo,L, 78_56 ,-8.2
North Texas,L, 71_65 ,-3.6
Southern,W, 64_53 ,9.2
Abilene Christian,W, 75_53 ,9.7
Incarnate Word,W, 74_63 ,6.8
Houston Baptist,L, 81_74 ,-6.2
Lamar,L, 74_54 ,-10.6
Abilene Christian,W, 56_50 ,0.1
McNeese St.,W, 79_75 ,5.3
Houston Baptist,W, 83_71 ,1.5
Northwestern St.,L, 85_71 ,-2.4
Sam Houston St.,L, 71_69 ,-6.1
Nicholls St.,W, 72_44 ,6.1
Central Arkansas,L, 68_66 ,-0.7
Texas A&M Corpus Chris,L, 80_75 ,-2.4
New Orleans,L, 60_52 ,1.4
Northwestern St.,W, 73_66 ,-3.3
Stephen F. Austin,L, 60_52 ,-0.9
Central Arkansas,W, 87_70 ,15.1
Nicholls St.,L, 77_71 ,-4.9
New Orleans,W, 63_58 ,-2.6
Lamar,L, 77_65 ,-3.5
