Opponent,Results,Score,PlusMinus
Tougaloo,W, 101_96 2OT,-
LSU,L, 78_61 ,-8
Union,W, 60_44 ,-
Alabama A&M,W, 63_55 ,4.8
South Alabama,L, 78_55 ,-9.5
Jackson St.,L, 75_64 ,-7.9
Florida St.,L, 98_49 ,-17.1
Tulane,L, 71_64 ,-10.9
Mississippi St.,L, 86_44 ,-13.7
San Diego St.,L, 66_51 ,-11.4
Stephen F. Austin,L, 67_64 ,4.5
Hawaii,L, 60_46 ,-8.9
Louisiana Tech,L, 79_55 ,-8.5
UTSA,W, 77_59 ,0
UTEP,W, 73_65 ,5.3
Old Dominion,L, 54_50 ,-4.1
Charlotte,L, 82_66 ,-7.9
North Texas,W, 75_65 ,9.8
Rice,L, 61_58 ,-12.6
Middle Tennessee,L, 72_56 ,-6.8
UAB,L, 87_43 ,-17.8
Marshall,W, 91_76 ,-1.2
Western Kentucky,L, 64_47 ,-12.3
UTSA,L, 57_51 ,-1.6
UTEP,L, 80_50 ,-8.7
FIU,W, 69_66 OT,-2.8
Florida Atlantic,L, 94_82 ,-7.4
Rice,L, 72_71 OT,-5.6
North Texas,W, 76_53 ,10.3
Louisiana Tech,L, 93_65 ,-12.6
Rice,L, 86_75 ,0.3
