Opponent,Results,Score,PlusMinus
Valparaiso,L, 79_65 ,-5.2
Saint Louis,L, 88_76 ,-5.2
Bethesda,W, 108_92 ,-
Coastal Carolina,L, 83_68 ,-3.7
Ball St.,L, 94_83 ,-1.8
Life Pacific,W, 101_56 ,-
UNLV,L, 89_81 ,-5.6
Oakland,L, 78_68 ,-10.3
Loyola Marymount,L, 75_68 ,-7.8
Cal St. Fullerton,L, 75_62 ,-2
IUPUI,L, 101_81 ,-15.3
Seattle,L, 89_75 ,-7.1
San Jose St.,L, 92_82 ,-7.3
Northern Arizona,W, 93_80 ,6.9
Northern Colorado,W, 78_76 ,-2.1
North Dakota,L, 95_65 ,-15.3
Sacramento St.,L, 88_83 ,-7.5
Portland St.,L, 88_77 ,-5.6
Idaho,L, 79_67 ,-2.9
Eastern Washington,L, 83_68 ,-17.8
North Dakota,L, 91_89 ,1.9
Northern Colorado,L, 89_71 ,-9.8
Weber St.,L, 90_74 ,-15.2
Idaho St.,L, 94_68 ,-13.8
Montana,L, 70_55 ,-5.7
Montana St.,L, 83_78 ,-3.4
Northern Arizona,W, 84_68 ,9.8
Portland St.,L, 93_86 ,-0.4
Sacramento St.,L, 86_76 ,-3.1
Eastern Washington,L, 91_75 ,-1.5
Idaho,L, 84_75 ,-2.7
Montana St.,W, 109_105 3OT,-2.6
Weber St.,L, 90_70 ,-8.4
