Opponent,Results,Score,PlusMinus
Incarnate Word,W, 78_73 ,6.9
Louisiana Monroe,W, 80_59 ,6.4
Eastern Washington,W, 85_52 ,13.2
Northwestern,L, 77_58 ,-9.4
Colorado,L, 68_54 ,-6.6
UT Arlington,L, 72_61 ,-2.9
Alabama,W, 77_68 ,-4.2
Michigan,L, 53_50 ,-2.8
Long Beach St.,W, 71_65 ,-2
Arkansas,L, 77_74 ,0.1
UAB,W, 96_60 ,11.9
Kent St.,L, 63_58 ,0.1
Kansas St.,L, 65_62 ,-4.4
Oklahoma St.,W, 82_79 ,1.6
Iowa St.,L, 79_70 ,-4.6
TCU,L, 64_61 ,0.5
West Virginia,L, 74_72 ,0.5
Baylor,L, 74_64 ,-4.3
Kansas,L, 79_67 ,-8
Oklahoma,W, 84_83 ,4.4
Georgia,L, 59_57 ,1.5
Texas Tech,W, 62_58 ,0.6
TCU,L, 78_63 ,-4.8
Iowa St.,W, 67_65 ,7.7
Oklahoma St.,L, 84_71 ,-7.7
Oklahoma,L, 70_66 ,2.1
Kansas St.,L, 64_61 ,-3.7
West Virginia,L, 77_62 ,-8.3
Kansas,L, 77_67 ,-7.9
Texas Tech,L, 67_57 ,-6.2
Baylor,L, 75_64 ,-7.3
Texas Tech,W, 61_52 ,-5.1
West Virginia,L, 63_53 ,-6
